User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIASRUG72GB4GTA5IZP,2025-11-29T18:22:50Z,cloudtrail.amazonaws.com,PutEventSelectors,ap-northeast-1,113.154.110.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:175303020931:trail/logs-for-udemy""}]",763a27b4-1e00-491c-874b-9cbd1fea698a,63b9ba78-1e36-4330-bcf5-19d3dcad83f9,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB4GTA5IZP,2025-11-29T18:22:50Z,cloudtrail.amazonaws.com,StartLogging,ap-northeast-1,113.154.110.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:175303020931:trail/logs-for-udemy""}]",124789c2-42bb-47fd-976c-282cdd6011e7,9a2c9f94-4f8a-4bc7-8ce3-33d9a5b554f7,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB4GTA5IZP,2025-11-29T18:22:50Z,cloudtrail.amazonaws.com,CreateTrail,ap-northeast-1,113.154.110.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:ap-northeast-1:175303020931:trail/logs-for-udemy""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""logs-for-udemy""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-175303020931-26fe893f""}]",52e8ddc5-1db1-4330-a578-28664c82e2a5,d2776a88-0911-437d-93ea-e852d95979c0,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB4GTA5IZP,2025-11-29T18:22:50Z,s3.amazonaws.com,PutBucketEncryption,ap-northeast-1,113.154.110.104,"[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-175303020931-26fe893f""}]",SDBQTRZN6R9RN7F3,f7b028bf-49cd-403a-a792-e97f46af5425,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB4GTA5IZP,2025-11-29T18:22:49Z,s3.amazonaws.com,PutBucketPolicy,ap-northeast-1,113.154.110.104,"[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-175303020931-26fe893f""}]",SDBS4AR0X104X99H,9a095c8f-7812-4c0b-a307-f7e2ffd3632e,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB4GTA5IZP,2025-11-29T18:22:49Z,s3.amazonaws.com,CreateBucket,ap-northeast-1,113.154.110.104,"[Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-175303020931-26fe893f""}]",3HK39MAVJR0TEVSW,f914be57-7c55-4f42-b5e8-a1be92a9faf0,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB3LN2LHIX,2025-11-29T11:02:17Z,ec2.amazonaws.com,TerminateInstances,ap-northeast-1,113.154.110.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0142ffd5fe6fa3dde""}]",a8766c34-3e84-41d4-9004-4fe2553f835f,40f0e1ed-41be-41ea-9d09-9f4c0b26d964,false,AwsApiCall,175303020931,Management
root,ASIASRUG72GB2TJJVLD3,2025-11-29T11:00:53Z,ec2-instance-connect.amazonaws.com,SendSSHPublicKey,ap-northeast-1,113.154.110.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0142ffd5fe6fa3dde""}]",3c5941c1-25e5-49c1-a77f-daa5e6adf797,c796daa2-239e-4f52-9a90-5715f374f918,false,AwsApiCall,175303020931,Management
i-0142ffd5fe6fa3dde,ASIASRUG72GBWPSN7XQD,2025-11-29T10:42:48Z,ssm.amazonaws.com,RegisterManagedInstance,ap-northeast-1,3.112.249.48,aws-sdk-go/1.55.5 (go1.24.6; linux; amd64) amazon-ssm-agent/3.3.3050.0,,[],a30ad1e1-755d-420a-9bfd-60102bffa0d8,9601632a-6ec8-4b10-adee-4abbd9db5a39,false,AwsApiCall,175303020931,Management
,,2025-11-29T10:42:36Z,ec2.amazonaws.com,SharedSnapshotVolumeCreated,ap-northeast-1,ec2.amazonaws.com,ec2.amazonaws.com,,[],,abea5abf-623f-3c1b-a0bd-be708839c98f,false,AwsServiceEvent,175303020931,Management
